agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
42.0,42,40.0,"Butare, Rwanda",4,1900-01-01 00:58:27,1900-01-01 00:58:50,"['00', '00', '23']",0.38333333333333336,5,;60;61;62;63;64,";Burundi;Rwanda;Rwanda;Rwanda;Butare, Rwanda",1,;64,";Butare, Rwanda",;0 days 00:00:20,0 days 00:00:20,0.8695652173913043,3,;61;62;63,;Rwanda;Rwanda;Rwanda,0,,
43.0,43,41.0,Burundi,6,1900-01-01 00:58:50,1900-01-01 00:59:50,"['00', '01', '00']",1.0,3,;65;66;67,;Rwanda;Burundi;Burundi,2,;66;67,;Burundi;Burundi,;0 days 00:00:51;0 days 00:00:57,0 days 00:00:51,0.85,0,,,0,,
44.0,44,42.0,Rwanda,6,1900-01-01 00:59:50,1900-01-01 01:00:10,"['00', '00', '20']",0.3333333333333333,0,,,0,,,,0,0.0,0,,,0,,
45.0,45;46;47,43.0;44.0;45.0,_end,8,1900-01-01 01:00:10,1900-01-01 01:07:35,"['00', '07', '25']",7.416666666666667,4,;68;69;70;71,;Iceland;France;France;Italy,0,,,,0,0.0,0,,,0,,
48.0,48,46.0,Rwanda,6,1900-01-01 01:07:35,1900-01-01 01:08:00,"['00', '00', '25']",0.4166666666666667,0,,,0,,,,0,0.0,0,,,0,,
49.0,49;50;51,47.0;48.0;49.0,_end,8,1900-01-01 01:08:00,1900-01-01 01:08:50,"['00', '00', '50']",0.8333333333333334,0,,,0,,,,0,0.0,0,,,0,,
52.0,52;53,50.0;51.0,Burundi,6,1900-01-01 01:08:50,1900-01-01 01:12:55,"['00', '04', '05']",4.083333333333333,3,;72;73;74,";Bujumbura, Burundi;Cibitoke, Burundi;Rugombo, Burundi",0,,,,0,0.0,0,,,3,;72;73;74,";Bujumbura, Burundi;Cibitoke, Burundi;Rugombo, Burundi"
54.0,54,52.0,_end,8,1900-01-01 01:12:55,1900-01-01 01:13:00,"['00', '00', '05']",0.08333333333333333,0,,,0,,,,0,0.0,0,,,0,,
55.0,55,53.0,Burundi,6,1900-01-01 01:13:00,1900-01-01 01:14:05,"['00', '01', '05']",1.0833333333333333,2,;75;76,;Burundi;Burundi,2,;75;76,;Burundi;Burundi,;0 days 00:00:24;0 days 00:00:56,0 days 00:00:24,0.36923076923076925,0,,,0,,
56.0,56,54.0,"Montreal, Canada",4,1900-01-01 01:14:05,1900-01-01 01:16:50,"['00', '02', '45']",2.75,5,;77;78;79;80;81,";Quebec, Canada;Montreal, Canada;Montreal, Canada;Montreal, Canada;Canada",3,;78;79;80,";Montreal, Canada;Montreal, Canada;Montreal, Canada",;0 days 00:00:35;0 days 00:01:49;0 days 00:01:00,0 days 00:00:35,0.21212121212121213,1,;81,;Canada,0,,
57.0,57,55.0,Burundi,6,1900-01-01 01:16:50,1900-01-01 01:17:00,"['00', '00', '10']",0.16666666666666666,1,;82,;Rwanda,0,,,,0,0.0,0,,,0,,
58.0,58,56.0,"Bujumbura, Burundi",4,1900-01-01 01:17:00,1900-01-01 01:19:00,"['00', '02', '00']",2.0,2,;83;84,";Burundi;l'Institut Supérieur de Contrôle de Gestion, Bujumbura, Burundi",0,,,,0,0.0,1,;83,;Burundi,1,;84,";l'Institut Supérieur de Contrôle de Gestion, Bujumbura, Burundi"
59.0,59,57.0,_end,8,1900-01-01 01:19:00,1900-01-01 01:19:20,"['00', '00', '20']",0.3333333333333333,0,,,0,,,,0,0.0,0,,,0,,
60.0,60;61,58.0;59.0,Burundi,6,1900-01-01 01:19:20,1900-01-01 01:24:51,"['00', '05', '31']",5.516666666666667,1,;85,;Africa,0,,,,0,0.0,0,,,0,,
62.0,62,60.0,"Montreal, Canada",4,1900-01-01 01:24:51,1900-01-01 01:26:30,"['00', '01', '39']",1.65,4,;86;87;88;89,";Canada;Rwanda;Africa;Montreal, Canada",1,;89,";Montreal, Canada",;0 days 00:00:59,0 days 00:00:59,0.5959595959595959,1,;86,;Canada,0,,
63.0,63;64;65;66,61.0;62.0;63.0;64.0,_end,8,1900-01-01 01:26:30,1900-01-01 01:28:28,"['00', '01', '58']",1.9666666666666666,3,;90;91;92,;Canada;Africa;Africa,0,,,,0,0.0,0,,,0,,
67.0,67,65.0,Burundi,6,1900-01-01 01:28:28,1900-01-01 01:33:00,"['00', '04', '32']",4.533333333333333,2,;93;94,;Burundi;Burundi,2,;93;94,;Burundi;Burundi,;0 days 00:00:03;0 days 00:01:28,0 days 00:00:03,0.011029411764705883,0,,,0,,
