agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
97.0,97,91.0,_end,8,1900-01-01 01:39:45,1900-01-01 01:39:49,"['00', '00', '04']",0.06666666666666667,0,,,0,,,,0,0.0,0,,,0,,
98.0,98,92.0,"Montreal, Canada",4,1900-01-01 01:39:49,1900-01-01 01:41:48,"['00', '01', '59']",1.9833333333333334,0,,,0,,,,0,0.0,0,,,0,,
99.0,99,93.0,_end,8,1900-01-01 01:41:48,1900-01-01 01:41:51,"['00', '00', '03']",0.05,0,,,0,,,,0,0.0,0,,,0,,
100.0,100;101,94.0;95.0,"Pierre Elliott Trudeau International Airport, Montreal, Canada",2,1900-01-01 01:41:51,1900-01-01 01:43:02,"['00', '01', '11']",1.1833333333333333,2,;152;153,;Cuba;Canada,0,,,,0,0.0,1,;153,;Canada,0,,
102.0,102,96.0,_end,8,1900-01-01 01:43:02,1900-01-01 01:44:51,"['00', '01', '49']",1.8166666666666667,0,,,0,,,,0,0.0,0,,,0,,
103.0,103,97.0,Haiti,6,1900-01-01 01:44:51,1900-01-01 01:46:08,"['00', '01', '17']",1.2833333333333334,0,,,0,,,,0,0.0,0,,,0,,
104.0,104;105,98.0;99.0,"Montreal, Canada",4,1900-01-01 01:46:08,1900-01-01 01:46:47,"['00', '00', '39']",0.65,4,;154;155;156;157,";Maison D'Haiti, Montreal, Canada;Maison D'Haiti, Montreal, Canada;Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau, Montreal, Canada;Commission des droits de la personne et des droits de la jeunesse, Montreal, Canada",0,,,,0,0.0,0,,,4,;154;155;156;157,";Maison D'Haiti, Montreal, Canada;Maison D'Haiti, Montreal, Canada;Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau, Montreal, Canada;Commission des droits de la personne et des droits de la jeunesse, Montreal, Canada"
106.0,106;107;108;109,100.0;101.0;102.0;103.0,"Commission des droits de la personne et des droits de la jeunesse, Montreal, Canada",2,1900-01-01 01:46:47,1900-01-01 01:47:35,"['00', '00', '48']",0.8,0,,,0,,,,0,0.0,0,,,0,,
110.0,110,104.0,_end,8,1900-01-01 01:47:35,1900-01-01 01:47:42,"['00', '00', '07']",0.11666666666666667,0,,,0,,,,0,0.0,0,,,0,,
111.0,111;112,105.0;106.0,"Montreal, Canada",4,1900-01-01 01:47:42,1900-01-01 01:48:51,"['00', '01', '09']",1.15,4,;158;159;160;161,";Maison D'Haiti, Montreal, Canada;Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau, Montreal, Canada;Commission des droits de la personne et des droits de la jeunesse, Montreal, Canada;Quebec, Canada",0,,,,0,0.0,0,,,3,;158;159;160,";Maison D'Haiti, Montreal, Canada;Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau, Montreal, Canada;Commission des droits de la personne et des droits de la jeunesse, Montreal, Canada"
113.0,113;114,107.0;108.0,"Quebec, Canada",5,1900-01-01 01:48:51,1900-01-01 01:52:05,"['00', '03', '14']",3.2333333333333334,1,;162,";Les Laurentides, Quebec, Canada",0,,,,0,0.0,0,,,1,;162,";Les Laurentides, Quebec, Canada"
115.0,115,109.0,_end,8,1900-01-01 01:52:05,1900-01-01 01:52:21,"['00', '00', '16']",0.26666666666666666,0,,,0,,,,0,0.0,0,,,0,,
116.0,116,110.0,"Montreal, Canada",4,1900-01-01 01:52:21,1900-01-01 01:54:06,"['00', '01', '45']",1.75,0,,,0,,,,0,0.0,0,,,0,,
117.0,117,111.0,_end,8,1900-01-01 01:54:06,1900-01-01 01:54:18,"['00', '00', '12']",0.2,0,,,0,,,,0,0.0,0,,,0,,
118.0,118,112.0,"Quebec, Canada",5,1900-01-01 01:54:18,1900-01-01 01:57:37,"['00', '03', '19']",3.316666666666667,2,;163;164,";Maison D'Haiti, Montreal, Canada;Association Latino-Americaine des Droits Humains: 5690 Rue Gatineau, Montreal, Canada",0,,,,0,0.0,0,,,0,,
119.0,119,113.0,_end,8,1900-01-01 01:57:37,1900-01-01 01:57:41,"['00', '00', '04']",0.06666666666666667,0,,,0,,,,0,0.0,0,,,0,,
120.0,120;121;122,114.0;115.0;116.0,"Quebec, Canada",5,1900-01-01 01:57:41,1900-01-01 02:02:17,"['00', '04', '36']",4.6,6,;165;166;167;168;169;170,";Canada;Haiti;Quebec, Canada;Quebec, Canada;Quebec, Canada;Canada",3,;167;168;169,";Quebec, Canada;Quebec, Canada;Quebec, Canada",;0 days 00:03:48;0 days 00:03:55;0 days 00:03:55,0 days 00:03:48,0.8260869565217391,2,;165;170,;Canada;Canada,0,,
123.0,123,nan,Haiti,6,1900-01-01 01:58:41,1900-01-01 02:02:17,"['00', '03', '36']",3.6,6,;165;166;167;168;169;170,";Canada;Haiti;Quebec, Canada;Quebec, Canada;Quebec, Canada;Canada",1,;166,;Haiti,;0 days 00:02:18,0 days 00:02:18,0.6388888888888888,0,,,0,,
